columnas,genero,indice_gap,min,max,estado,total
_18_HOMBRES,1,18,18,18,1,10387
_18_MUJERES,2,18,18,18,1,10664
_18_NOBINARIO,9,18,18,18,1,0
_19_HOMBRES,1,19,19,19,1,12835
_19_MUJERES,2,19,19,19,1,13044
_19_NOBINARIO,9,19,19,19,1,0
_20_24_HOMBRES,1,2024,20,24,1,69303
_20_24_MUJERES,2,2024,20,24,1,68883
_20_24_NOBINARIO,9,2024,20,24,1,2
_25_29_HOMBRES,1,2529,25,29,1,65897
_25_29_MUJERES,2,2529,25,29,1,65990
_25_29_NOBINARIO,9,2529,25,29,1,0
_30_34_HOMBRES,1,3034,30,34,1,61308
_30_34_MUJERES,2,3034,30,34,1,63273
_30_34_NOBINARIO,9,3034,30,34,1,0
_35_39_HOMBRES,1,3539,35,39,1,52311
_35_39_MUJERES,2,3539,35,39,1,55450
_35_39_NOBINARIO,9,3539,35,39,1,1
_40_44_HOMBRES,1,4044,40,44,1,48217
_40_44_MUJERES,2,4044,40,44,1,51997
_40_44_NOBINARIO,9,4044,40,44,1,0
_45_49_HOMBRES,1,4549,45,49,1,44140
_45_49_MUJERES,2,4549,45,49,1,48696
_45_49_NOBINARIO,9,4549,45,49,1,0
_50_54_HOMBRES,1,5054,50,54,1,40402
_50_54_MUJERES,2,5054,50,54,1,45820
_50_54_NOBINARIO,9,5054,50,54,1,0
_55_59_HOMBRES,1,5559,55,59,1,33900
_55_59_MUJERES,2,5559,55,59,1,38964
_55_59_NOBINARIO,9,5559,55,59,1,0
_60_64_HOMBRES,1,6064,60,64,1,27808
_60_64_MUJERES,2,6064,60,64,1,32236
_60_64_NOBINARIO,9,6064,60,64,1,0
_65_Y_MAS_HOMBRES,1,65,65,100,1,55844
_65_Y_MAS_MUJERES,2,65,65,100,1,68515
_65_Y_MAS_NOBINARIO,9,65,65,100,1,0
_18_HOMBRES,1,18,18,18,2,23866
_18_MUJERES,2,18,18,18,2,23817
_18_NOBINARIO,9,18,18,18,2,0
_19_HOMBRES,1,19,19,19,2,32770
_19_MUJERES,2,19,19,19,2,31571
_19_NOBINARIO,9,19,19,19,2,0
_20_24_HOMBRES,1,2024,20,24,2,181421
_20_24_MUJERES,2,2024,20,24,2,174487
_20_24_NOBINARIO,9,2024,20,24,2,2
_25_29_HOMBRES,1,2529,25,29,2,195165
_25_29_MUJERES,2,2529,25,29,2,184162
_25_29_NOBINARIO,9,2529,25,29,2,1
_30_34_HOMBRES,1,3034,30,34,2,185374
_30_34_MUJERES,2,3034,30,34,2,177257
_30_34_NOBINARIO,9,3034,30,34,2,1
_35_39_HOMBRES,1,3539,35,39,2,165475
_35_39_MUJERES,2,3539,35,39,2,160568
_35_39_NOBINARIO,9,3539,35,39,2,0
_40_44_HOMBRES,1,4044,40,44,2,154735
_40_44_MUJERES,2,4044,40,44,2,151397
_40_44_NOBINARIO,9,4044,40,44,2,0
_45_49_HOMBRES,1,4549,45,49,2,149860
_45_49_MUJERES,2,4549,45,49,2,149150
_45_49_NOBINARIO,9,4549,45,49,2,0
_50_54_HOMBRES,1,5054,50,54,2,144696
_50_54_MUJERES,2,5054,50,54,2,142741
_50_54_NOBINARIO,9,5054,50,54,2,0
_55_59_HOMBRES,1,5559,55,59,2,116842
_55_59_MUJERES,2,5559,55,59,2,119048
_55_59_NOBINARIO,9,5559,55,59,2,0
_60_64_HOMBRES,1,6064,60,64,2,91243
_60_64_MUJERES,2,6064,60,64,2,97925
_60_64_NOBINARIO,9,6064,60,64,2,0
_65_Y_MAS_HOMBRES,1,65,65,100,2,167878
_65_Y_MAS_MUJERES,2,65,65,100,2,205577
_65_Y_MAS_NOBINARIO,9,65,65,100,2,0
_18_HOMBRES,1,18,18,18,3,4611
_18_MUJERES,2,18,18,18,3,4468
_18_NOBINARIO,9,18,18,18,3,0
_19_HOMBRES,1,19,19,19,3,6984
_19_MUJERES,2,19,19,19,3,6406
_19_NOBINARIO,9,19,19,19,3,0
_20_24_HOMBRES,1,2024,20,24,3,36379
_20_24_MUJERES,2,2024,20,24,3,33973
_20_24_NOBINARIO,9,2024,20,24,3,0
_25_29_HOMBRES,1,2529,25,29,3,36930
_25_29_MUJERES,2,2529,25,29,3,34133
_25_29_NOBINARIO,9,2529,25,29,3,0
_30_34_HOMBRES,1,3034,30,34,3,38123
_30_34_MUJERES,2,3034,30,34,3,35532
_30_34_NOBINARIO,9,3034,30,34,3,0
_35_39_HOMBRES,1,3539,35,39,3,35583
_35_39_MUJERES,2,3539,35,39,3,33227
_35_39_NOBINARIO,9,3539,35,39,3,0
_40_44_HOMBRES,1,4044,40,44,3,33600
_40_44_MUJERES,2,4044,40,44,3,31198
_40_44_NOBINARIO,9,4044,40,44,3,0
_45_49_HOMBRES,1,4549,45,49,3,30239
_45_49_MUJERES,2,4549,45,49,3,28863
_45_49_NOBINARIO,9,4549,45,49,3,0
_50_54_HOMBRES,1,5054,50,54,3,26604
_50_54_MUJERES,2,5054,50,54,3,25205
_50_54_NOBINARIO,9,5054,50,54,3,0
_55_59_HOMBRES,1,5559,55,59,3,20604
_55_59_MUJERES,2,5559,55,59,3,20238
_55_59_NOBINARIO,9,5559,55,59,3,0
_60_64_HOMBRES,1,6064,60,64,3,16098
_60_64_MUJERES,2,6064,60,64,3,16489
_60_64_NOBINARIO,9,6064,60,64,3,0
_65_Y_MAS_HOMBRES,1,65,65,100,3,28792
_65_Y_MAS_MUJERES,2,65,65,100,3,31498
_65_Y_MAS_NOBINARIO,9,65,65,100,3,0
_18_HOMBRES,1,18,18,18,4,5627
_18_MUJERES,2,18,18,18,4,5571
_18_NOBINARIO,9,18,18,18,4,0
_19_HOMBRES,1,19,19,19,4,7566
_19_MUJERES,2,19,19,19,4,7434
_19_NOBINARIO,9,19,19,19,4,0
_20_24_HOMBRES,1,2024,20,24,4,39095
_20_24_MUJERES,2,2024,20,24,4,39082
_20_24_NOBINARIO,9,2024,20,24,4,0
_25_29_HOMBRES,1,2529,25,29,4,39431
_25_29_MUJERES,2,2529,25,29,4,39391
_25_29_NOBINARIO,9,2529,25,29,4,0
_30_34_HOMBRES,1,3034,30,34,4,38554
_30_34_MUJERES,2,3034,30,34,4,40246
_30_34_NOBINARIO,9,3034,30,34,4,0
_35_39_HOMBRES,1,3539,35,39,4,36596
_35_39_MUJERES,2,3539,35,39,4,38395
_35_39_NOBINARIO,9,3539,35,39,4,0
_40_44_HOMBRES,1,4044,40,44,4,33572
_40_44_MUJERES,2,4044,40,44,4,36029
_40_44_NOBINARIO,9,4044,40,44,4,0
_45_49_HOMBRES,1,4549,45,49,4,31445
_45_49_MUJERES,2,4549,45,49,4,33343
_45_49_NOBINARIO,9,4549,45,49,4,0
_50_54_HOMBRES,1,5054,50,54,4,27819
_50_54_MUJERES,2,5054,50,54,4,29172
_50_54_NOBINARIO,9,5054,50,54,4,0
_55_59_HOMBRES,1,5559,55,59,4,23231
_55_59_MUJERES,2,5559,55,59,4,24304
_55_59_NOBINARIO,9,5559,55,59,4,0
_60_64_HOMBRES,1,6064,60,64,4,18963
_60_64_MUJERES,2,6064,60,64,4,20020
_60_64_NOBINARIO,9,6064,60,64,4,0
_65_Y_MAS_HOMBRES,1,65,65,100,4,39998
_65_Y_MAS_MUJERES,2,65,65,100,4,43026
_65_Y_MAS_NOBINARIO,9,65,65,100,4,0
_18_HOMBRES,1,18,18,18,5,21763
_18_MUJERES,2,18,18,18,5,21168
_18_NOBINARIO,9,18,18,18,5,0
_19_HOMBRES,1,19,19,19,5,26505
_19_MUJERES,2,19,19,19,5,25935
_19_NOBINARIO,9,19,19,19,5,0
_20_24_HOMBRES,1,2024,20,24,5,144981
_20_24_MUJERES,2,2024,20,24,5,141598
_20_24_NOBINARIO,9,2024,20,24,5,0
_25_29_HOMBRES,1,2529,25,29,5,140951
_25_29_MUJERES,2,2529,25,29,5,137241
_25_29_NOBINARIO,9,2529,25,29,5,0
_30_34_HOMBRES,1,3034,30,34,5,131420
_30_34_MUJERES,2,3034,30,34,5,129251
_30_34_NOBINARIO,9,3034,30,34,5,0
_35_39_HOMBRES,1,3539,35,39,5,116696
_35_39_MUJERES,2,3539,35,39,5,116120
_35_39_NOBINARIO,9,3539,35,39,5,0
_40_44_HOMBRES,1,4044,40,44,5,113029
_40_44_MUJERES,2,4044,40,44,5,113329
_40_44_NOBINARIO,9,4044,40,44,5,0
_45_49_HOMBRES,1,4549,45,49,5,112056
_45_49_MUJERES,2,4549,45,49,5,115910
_45_49_NOBINARIO,9,4549,45,49,5,0
_50_54_HOMBRES,1,5054,50,54,5,103896
_50_54_MUJERES,2,5054,50,54,5,109099
_50_54_NOBINARIO,9,5054,50,54,5,0
_55_59_HOMBRES,1,5559,55,59,5,85150
_55_59_MUJERES,2,5559,55,59,5,91760
_55_59_NOBINARIO,9,5559,55,59,5,0
_60_64_HOMBRES,1,6064,60,64,5,69744
_60_64_MUJERES,2,6064,60,64,5,76328
_60_64_NOBINARIO,9,6064,60,64,5,0
_65_Y_MAS_HOMBRES,1,65,65,100,5,137272
_65_Y_MAS_MUJERES,2,65,65,100,5,160442
_65_Y_MAS_NOBINARIO,9,65,65,100,5,0
_18_HOMBRES,1,18,18,18,6,4491
_18_MUJERES,2,18,18,18,6,4406
_18_NOBINARIO,9,18,18,18,6,0
_19_HOMBRES,1,19,19,19,6,6088
_19_MUJERES,2,19,19,19,6,6053
_19_NOBINARIO,9,19,19,19,6,0
_20_24_HOMBRES,1,2024,20,24,6,31514
_20_24_MUJERES,2,2024,20,24,6,31196
_20_24_NOBINARIO,9,2024,20,24,6,0
_25_29_HOMBRES,1,2529,25,29,6,31379
_25_29_MUJERES,2,2529,25,29,6,31225
_25_29_NOBINARIO,9,2529,25,29,6,0
_30_34_HOMBRES,1,3034,30,34,6,30905
_30_34_MUJERES,2,3034,30,34,6,31172
_30_34_NOBINARIO,9,3034,30,34,6,0
_35_39_HOMBRES,1,3539,35,39,6,29476
_35_39_MUJERES,2,3539,35,39,6,30809
_35_39_NOBINARIO,9,3539,35,39,6,0
_40_44_HOMBRES,1,4044,40,44,6,27374
_40_44_MUJERES,2,4044,40,44,6,28746
_40_44_NOBINARIO,9,4044,40,44,6,0
_45_49_HOMBRES,1,4549,45,49,6,26614
_45_49_MUJERES,2,4549,45,49,6,27935
_45_49_NOBINARIO,9,4549,45,49,6,0
_50_54_HOMBRES,1,5054,50,54,6,24882
_50_54_MUJERES,2,5054,50,54,6,26437
_50_54_NOBINARIO,9,5054,50,54,6,0
_55_59_HOMBRES,1,5559,55,59,6,21189
_55_59_MUJERES,2,5559,55,59,6,22908
_55_59_NOBINARIO,9,5559,55,59,6,0
_60_64_HOMBRES,1,6064,60,64,6,18455
_60_64_MUJERES,2,6064,60,64,6,19896
_60_64_NOBINARIO,9,6064,60,64,6,0
_65_Y_MAS_HOMBRES,1,65,65,100,6,38761
_65_Y_MAS_MUJERES,2,65,65,100,6,44072
_65_Y_MAS_NOBINARIO,9,65,65,100,6,0
_18_HOMBRES,1,18,18,18,7,27717
_18_MUJERES,2,18,18,18,7,28892
_18_NOBINARIO,9,18,18,18,7,0
_19_HOMBRES,1,19,19,19,7,46837
_19_MUJERES,2,19,19,19,7,49460
_19_NOBINARIO,9,19,19,19,7,0
_20_24_HOMBRES,1,2024,20,24,7,267230
_20_24_MUJERES,2,2024,20,24,7,277663
_20_24_NOBINARIO,9,2024,20,24,7,0
_25_29_HOMBRES,1,2529,25,29,7,255173
_25_29_MUJERES,2,2529,25,29,7,265867
_25_29_NOBINARIO,9,2529,25,29,7,0
_30_34_HOMBRES,1,3034,30,34,7,229591
_30_34_MUJERES,2,3034,30,34,7,253777
_30_34_NOBINARIO,9,3034,30,34,7,0
_35_39_HOMBRES,1,3539,35,39,7,205183
_35_39_MUJERES,2,3539,35,39,7,226718
_35_39_NOBINARIO,9,3539,35,39,7,0
_40_44_HOMBRES,1,4044,40,44,7,185697
_40_44_MUJERES,2,4044,40,44,7,205953
_40_44_NOBINARIO,9,4044,40,44,7,0
_45_49_HOMBRES,1,4549,45,49,7,164122
_45_49_MUJERES,2,4549,45,49,7,180698
_45_49_NOBINARIO,9,4549,45,49,7,0
_50_54_HOMBRES,1,5054,50,54,7,139640
_50_54_MUJERES,2,5054,50,54,7,155219
_50_54_NOBINARIO,9,5054,50,54,7,0
_55_59_HOMBRES,1,5559,55,59,7,113482
_55_59_MUJERES,2,5559,55,59,7,125788
_55_59_NOBINARIO,9,5559,55,59,7,0
_60_64_HOMBRES,1,6064,60,64,7,94869
_60_64_MUJERES,2,6064,60,64,7,102623
_60_64_NOBINARIO,9,6064,60,64,7,0
_65_Y_MAS_HOMBRES,1,65,65,100,7,209920
_65_Y_MAS_MUJERES,2,65,65,100,7,222869
_65_Y_MAS_NOBINARIO,9,65,65,100,7,0
_18_HOMBRES,1,18,18,18,8,25183
_18_MUJERES,2,18,18,18,8,25922
_18_NOBINARIO,9,18,18,18,8,0
_19_HOMBRES,1,19,19,19,8,32662
_19_MUJERES,2,19,19,19,8,32897
_19_NOBINARIO,9,19,19,19,8,0
_20_24_HOMBRES,1,2024,20,24,8,177632
_20_24_MUJERES,2,2024,20,24,8,175328
_20_24_NOBINARIO,9,2024,20,24,8,2
_25_29_HOMBRES,1,2529,25,29,8,176517
_25_29_MUJERES,2,2529,25,29,8,173412
_25_29_NOBINARIO,9,2529,25,29,8,4
_30_34_HOMBRES,1,3034,30,34,8,169104
_30_34_MUJERES,2,3034,30,34,8,168989
_30_34_NOBINARIO,9,3034,30,34,8,1
_35_39_HOMBRES,1,3539,35,39,8,151128
_35_39_MUJERES,2,3539,35,39,8,152057
_35_39_NOBINARIO,9,3539,35,39,8,0
_40_44_HOMBRES,1,4044,40,44,8,142815
_40_44_MUJERES,2,4044,40,44,8,143277
_40_44_NOBINARIO,9,4044,40,44,8,0
_45_49_HOMBRES,1,4549,45,49,8,139466
_45_49_MUJERES,2,4549,45,49,8,142519
_45_49_NOBINARIO,9,4549,45,49,8,0
_50_54_HOMBRES,1,5054,50,54,8,137245
_50_54_MUJERES,2,5054,50,54,8,141971
_50_54_NOBINARIO,9,5054,50,54,8,0
_55_59_HOMBRES,1,5559,55,59,8,115700
_55_59_MUJERES,2,5559,55,59,8,123025
_55_59_NOBINARIO,9,5559,55,59,8,0
_60_64_HOMBRES,1,6064,60,64,8,93146
_60_64_MUJERES,2,6064,60,64,8,102535
_60_64_NOBINARIO,9,6064,60,64,8,0
_65_Y_MAS_HOMBRES,1,65,65,100,8,182344
_65_Y_MAS_MUJERES,2,65,65,100,8,216967
_65_Y_MAS_NOBINARIO,9,65,65,100,8,0
_18_HOMBRES,1,18,18,18,9,51150
_18_MUJERES,2,18,18,18,9,50944
_18_NOBINARIO,9,18,18,18,9,3
_19_HOMBRES,1,19,19,19,9,69042
_19_MUJERES,2,19,19,19,9,68023
_19_NOBINARIO,9,19,19,19,9,1
_20_24_HOMBRES,1,2024,20,24,9,375281
_20_24_MUJERES,2,2024,20,24,9,371655
_20_24_NOBINARIO,9,2024,20,24,9,8
_25_29_HOMBRES,1,2529,25,29,9,395219
_25_29_MUJERES,2,2529,25,29,9,394727
_25_29_NOBINARIO,9,2529,25,29,9,11
_30_34_HOMBRES,1,3034,30,34,9,409189
_30_34_MUJERES,2,3034,30,34,9,417328
_30_34_NOBINARIO,9,3034,30,34,9,5
_35_39_HOMBRES,1,3539,35,39,9,383016
_35_39_MUJERES,2,3539,35,39,9,401061
_35_39_NOBINARIO,9,3539,35,39,9,2
_40_44_HOMBRES,1,4044,40,44,9,362064
_40_44_MUJERES,2,4044,40,44,9,389229
_40_44_NOBINARIO,9,4044,40,44,9,0
_45_49_HOMBRES,1,4549,45,49,9,345436
_45_49_MUJERES,2,4549,45,49,9,384030
_45_49_NOBINARIO,9,4549,45,49,9,2
_50_54_HOMBRES,1,5054,50,54,9,344332
_50_54_MUJERES,2,5054,50,54,9,393799
_50_54_NOBINARIO,9,5054,50,54,9,0
_55_59_HOMBRES,1,5559,55,59,9,288802
_55_59_MUJERES,2,5559,55,59,9,342092
_55_59_NOBINARIO,9,5559,55,59,9,0
_60_64_HOMBRES,1,6064,60,64,9,249591
_60_64_MUJERES,2,6064,60,64,9,306721
_60_64_NOBINARIO,9,6064,60,64,9,0
_65_Y_MAS_HOMBRES,1,65,65,100,9,528840
_65_Y_MAS_MUJERES,2,65,65,100,9,745687
_65_Y_MAS_NOBINARIO,9,65,65,100,9,0
_18_HOMBRES,1,18,18,18,10,10988
_18_MUJERES,2,18,18,18,10,10838
_18_NOBINARIO,9,18,18,18,10,0
_19_HOMBRES,1,19,19,19,10,15049
_19_MUJERES,2,19,19,19,10,15063
_19_NOBINARIO,9,19,19,19,10,0
_20_24_HOMBRES,1,2024,20,24,10,82270
_20_24_MUJERES,2,2024,20,24,10,82521
_20_24_NOBINARIO,9,2024,20,24,10,0
_25_29_HOMBRES,1,2529,25,29,10,81312
_25_29_MUJERES,2,2529,25,29,10,80485
_25_29_NOBINARIO,9,2529,25,29,10,0
_30_34_HOMBRES,1,3034,30,34,10,74183
_30_34_MUJERES,2,3034,30,34,10,76904
_30_34_NOBINARIO,9,3034,30,34,10,0
_35_39_HOMBRES,1,3539,35,39,10,67767
_35_39_MUJERES,2,3539,35,39,10,70537
_35_39_NOBINARIO,9,3539,35,39,10,0
_40_44_HOMBRES,1,4044,40,44,10,63018
_40_44_MUJERES,2,4044,40,44,10,65462
_40_44_NOBINARIO,9,4044,40,44,10,0
_45_49_HOMBRES,1,4549,45,49,10,62589
_45_49_MUJERES,2,4549,45,49,10,65570
_45_49_NOBINARIO,9,4549,45,49,10,0
_50_54_HOMBRES,1,5054,50,54,10,58717
_50_54_MUJERES,2,5054,50,54,10,62292
_50_54_NOBINARIO,9,5054,50,54,10,0
_55_59_HOMBRES,1,5559,55,59,10,50771
_55_59_MUJERES,2,5559,55,59,10,55116
_55_59_NOBINARIO,9,5559,55,59,10,0
_60_64_HOMBRES,1,6064,60,64,10,42914
_60_64_MUJERES,2,6064,60,64,10,46813
_60_64_NOBINARIO,9,6064,60,64,10,0
_65_Y_MAS_HOMBRES,1,65,65,100,10,96380
_65_Y_MAS_MUJERES,2,65,65,100,10,106783
_65_Y_MAS_NOBINARIO,9,65,65,100,10,0
_18_HOMBRES,1,18,18,18,11,36813
_18_MUJERES,2,18,18,18,11,37990
_18_NOBINARIO,9,18,18,18,11,0
_19_HOMBRES,1,19,19,19,11,52544
_19_MUJERES,2,19,19,19,11,54417
_19_NOBINARIO,9,19,19,19,11,1
_20_24_HOMBRES,1,2024,20,24,11,290106
_20_24_MUJERES,2,2024,20,24,11,295500
_20_24_NOBINARIO,9,2024,20,24,11,0
_25_29_HOMBRES,1,2529,25,29,11,290166
_25_29_MUJERES,2,2529,25,29,11,291697
_25_29_NOBINARIO,9,2529,25,29,11,1
_30_34_HOMBRES,1,3034,30,34,11,266364
_30_34_MUJERES,2,3034,30,34,11,283629
_30_34_NOBINARIO,9,3034,30,34,11,1
_35_39_HOMBRES,1,3539,35,39,11,242194
_35_39_MUJERES,2,3539,35,39,11,261852
_35_39_NOBINARIO,9,3539,35,39,11,0
_40_44_HOMBRES,1,4044,40,44,11,225437
_40_44_MUJERES,2,4044,40,44,11,246187
_40_44_NOBINARIO,9,4044,40,44,11,0
_45_49_HOMBRES,1,4549,45,49,11,211954
_45_49_MUJERES,2,4549,45,49,11,233860
_45_49_NOBINARIO,9,4549,45,49,11,0
_50_54_HOMBRES,1,5054,50,54,11,191512
_50_54_MUJERES,2,5054,50,54,11,213467
_50_54_NOBINARIO,9,5054,50,54,11,0
_55_59_HOMBRES,1,5559,55,59,11,158670
_55_59_MUJERES,2,5559,55,59,11,180461
_55_59_NOBINARIO,9,5559,55,59,11,0
_60_64_HOMBRES,1,6064,60,64,11,129597
_60_64_MUJERES,2,6064,60,64,11,148470
_60_64_NOBINARIO,9,6064,60,64,11,0
_65_Y_MAS_HOMBRES,1,65,65,100,11,281966
_65_Y_MAS_MUJERES,2,65,65,100,11,333949
_65_Y_MAS_NOBINARIO,9,65,65,100,11,0
_18_HOMBRES,1,18,18,18,12,16366
_18_MUJERES,2,18,18,18,12,17872
_18_NOBINARIO,9,18,18,18,12,0
_19_HOMBRES,1,19,19,19,12,28000
_19_MUJERES,2,19,19,19,12,30147
_19_NOBINARIO,9,19,19,19,12,0
