estado,voto,genero,edad,ponderado,partido,encuesta,inverso,homo_pon
27.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
12.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
16.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
27.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
16.0,5.0,1.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
27.0,4.0,1.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
7.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
7.0,4.0,2.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
11.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
7.0,5.0,2.0,2.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,2.0,2.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
10.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
28.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
31.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
7.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
5.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
16.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
31.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
7.0,5.0,2.0,1.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
31.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
5.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
12.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
30.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
12.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
12.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
30.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
16.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
13.0,4.0,2.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
30.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
13.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
11.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
13.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
13.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
14.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
11.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
14.0,4.0,2.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
14.0,5.0,2.0,2.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
14.0,4.0,1.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
14.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
11.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
30.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
7.0,4.0,2.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
7.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
16.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
30.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
30.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,1.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
11.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,2.0,2.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
30.0,5.0,2.0,2.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
30.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
11.0,4.0,1.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,2.0,1.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
5.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
30.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
30.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
21.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
16.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
21.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
21.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
14.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
21.0,2.0,1.0,5.0,1,NR,4,1.0,688042.7708333334
14.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
22.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
21.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
21.0,2.0,1.0,5.0,1,NR,4,1.0,688042.7708333334
21.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
21.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
14.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
28.0,4.0,1.0,1.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
28.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
20.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
22.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
20.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
9.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
5.0,4.0,1.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
29.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
9.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
17.0,4.0,1.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
24.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
19.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
15.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
14.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
19.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
19.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
19.0,5.0,1.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
6.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
9.0,5.0,1.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
14.0,5.0,2.0,1.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
19.0,4.0,2.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
9.0,4.0,1.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
4.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
26.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
26.0,4.0,1.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
26.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
8.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
8.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
32.0,5.0,1.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
1.0,4.0,1.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
9.0,5.0,1.0,2.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
2.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
23.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
9.0,5.0,1.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
8.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
9.0,5.0,1.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
8.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
19.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
9.0,5.0,1.0,1.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
9.0,5.0,1.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
22.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
9.0,4.0,1.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
28.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
9.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
18.0,4.0,1.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
3.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
2.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
9.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
20.0,4.0,1.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
20.0,4.0,2.0,4.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
25.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
25.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
25.0,4.0,2.0,5.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
25.0,5.0,2.0,4.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
19.0,4.0,1.0,3.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,4.0,2.0,2.0,1,MORENA-PT-Partido Verde,4,1.0,688042.7708333334
15.0,2.0,1.0,4.0,1,NR,4,1.0,688042.7708333334
2.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
2.0,5.0,2.0,3.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
25.0,2.0,1.0,3.0,1,NR,4,1.0,688042.7708333334
25.0,5.0,2.0,5.0,1,PAN-PRI-PRD,4,1.0,688042.7708333334
